Case Id;Title;Date;Priority;Planned duration (minutes);Test Areas;Average Duration;Tags;Objective;Test Data;Preconditions & Assumptions
new;Modular input variable validation;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;"Create project and add modular input";"Dummy result"
"";new;"Add variable with name '$'";"Dummy result"
"";new;"Save and restart splunk";"Dummy result"
new;Field extraction number only;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;"Create project and add modular inputs";"Dummy result"
"";new;"Uncomment code in modular inputs so events will be random numbers";"Dummy result"
"";new;"Restart";"Dummy result"
"";new;"Wait to let splunk index much events.";"Dummy result"
"";new;"In field extraction page, parse the sourcetype";"Dummy result"
"";new;"Numbers should be grouped in the same group";"Dummy result"
"";new;"Regex should match all events in group";"Dummy result"
new;Add scroll bar inside output box;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Setup page setting file is not updated after renaming project;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;"Create project and setup page";"Dummy result"
"";new;"Restart";"Dummy result"
"";new;"Rename project";"Dummy result"
"";new;"Restart";"Dummy result"
"";new;"Open setup page";"Dummy result"
new;Try run data input does not work in splunk free editiion;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check rest api headers and parameters display order;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;"Create project";"Dummy result"
"";new;"Add REST API input";"Dummy result"
"";new;"Add headers: h1, h2 parameters: p1, p2";"Dummy result"
"";new;"Click on Save";"Dummy result"
"";new;"Click on Edit";"Dummy result"
new;Enable disable modular input;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;"Create project";"Dummy result"
"";new;"Create modular input";"Dummy result"
"";new;"Before click on 'Next' and restart splunk, click on 'disable' and then 'enable' the modular input";"Dummy result"
new;Test modular input execution;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Testing modular input will fail when add new variable and edit code before restart;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;"Create project and modular input";"Dummy result"
"";new;"Restart";"Dummy result"
"";new;"Add new variable for modular input";"Dummy result"
"";new;"Click on 'Code'";"Dummy result"
"";new;"Click on 'Test' button";"Dummy result"
new;Go to setup info page;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Configure setup info;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Modular input interval;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Save parameters in created setup page;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Configure custom modular input variable;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;"Create project";"Dummy result"
"";new;"Create modular input";"Dummy result"
"";new;"Restart";"Dummy result"
"";new;"Edit modular input";"Dummy result"
"";new;"Delete custom variables if any";"Dummy result"
new;Custom variable required checkbox;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
