Account ID,Line Item,Start Time,End Time,Project,Measurement1,Measurement1 Total Consumption,Measurement1 Units,Credit1,Credit1 Amount,Credit1 Currency,Cost,Currency,Project Number,Project ID,Project Name,Project Labels,Description
0078B8-D1D738-F15E6F,com.google.cloud/services/cloud-storage/ClassARequest,2016-07-05T00:00:00-07:00,2016-07-06T00:00:00-07:00,7.12929E+11,com.google.cloud/services/cloud-storage/ClassARequest,6,requests,FreeTrial:2016-06-15T00:00:00.000-07:00,-0.00006,USD,0.00006,USD,7.12929E+11,splunk-gcp,Splunk-GCP,,Class A Request
0078B8-D1D738-F15E6F,com.google.cloud/services/cloud-storage/StorageGbsec,2016-07-05T00:00:00-07:00,2016-07-06T00:00:00-07:00,7.12929E+11,com.google.cloud/services/cloud-storage/StorageGbsec,4862601216,byte-seconds,,,,0,USD,7.12929E+11,splunk-gcp,Splunk-GCP,,Storage
0078B8-D1D738-F15E6F,com.google.cloud/services/compute-engine/Licensed1000204F1Micro,2016-07-05T00:00:00-07:00,2016-07-06T00:00:00-07:00,7.12929E+11,com.google.cloud/services/compute-engine/Licensed1000204F1Micro,86400,seconds,,,,0,USD,7.12929E+11,splunk-gcp,Splunk-GCP,,Licensing Fee for Debian 8 Jessie running on Micro instance with burstable CPU
0078B8-D1D738-F15E6F,com.google.cloud/services/compute-engine/Licensed1000204N1Standard_1,2016-07-05T00:00:00-07:00,2016-07-06T00:00:00-07:00,7.12929E+11,com.google.cloud/services/compute-engine/Licensed1000204N1Standard_1,86400,seconds,,,,0,USD,7.12929E+11,splunk-gcp,Splunk-GCP,,Licensing Fee for Debian 8 Jessie running on Standard Intel N1 1 VCPU
0078B8-D1D738-F15E6F,com.google.cloud/services/compute-engine/NetworkGoogleEgressNaNa,2016-07-05T00:00:00-07:00,2016-07-06T00:00:00-07:00,7.12929E+11,com.google.cloud/services/compute-engine/NetworkGoogleEgressNaNa,22046,bytes,,,,0,USD,7.12929E+11,splunk-gcp,Splunk-GCP,,Network Google Egress from Americas to Americas
0078B8-D1D738-F15E6F,com.google.cloud/services/compute-engine/NetworkGoogleIngressNaNa,2016-07-05T00:00:00-07:00,2016-07-06T00:00:00-07:00,7.12929E+11,com.google.cloud/services/compute-engine/NetworkGoogleIngressNaNa,109814,bytes,,,,0,USD,7.12929E+11,splunk-gcp,Splunk-GCP,,Network Google Ingress from Americas to Americas
0078B8-D1D738-F15E6F,com.google.cloud/services/compute-engine/NetworkInterZoneIngress,2016-07-05T00:00:00-07:00,2016-07-06T00:00:00-07:00,7.12929E+11,com.google.cloud/services/compute-engine/NetworkInterZoneIngress,80,bytes,,,,0,USD,7.12929E+11,splunk-gcp,Splunk-GCP,,Network Inter Zone Ingress
0078B8-D1D738-F15E6F,com.google.cloud/services/compute-engine/NetworkInternetEgressNaApac,2016-07-05T00:00:00-07:00,2016-07-06T00:00:00-07:00,7.12929E+11,com.google.cloud/services/compute-engine/NetworkInternetEgressNaApac,40239,bytes,FreeTrial:2016-06-15T00:00:00.000-07:00,-0.000003,USD,0.000003,USD,7.12929E+11,splunk-gcp,Splunk-GCP,,Network Internet Egress from Americas to APAC
0078B8-D1D738-F15E6F,com.google.cloud/services/compute-engine/NetworkInternetEgressNaCn,2016-07-05T00:00:00-07:00,2016-07-06T00:00:00-07:00,7.12929E+11,com.google.cloud/services/compute-engine/NetworkInternetEgressNaCn,741904,bytes,FreeTrial:2016-06-15T00:00:00.000-07:00,-0.000158,USD,0.000158,USD,7.12929E+11,splunk-gcp,Splunk-GCP,,Network Internet Egress from Americas to China
0078B8-D1D738-F15E6F,com.google.cloud/services/compute-engine/NetworkInternetEgressNaEu,2016-07-05T00:00:00-07:00,2016-07-06T00:00:00-07:00,7.12929E+11,com.google.cloud/services/compute-engine/NetworkInternetEgressNaEu,73657,bytes,FreeTrial:2016-06-15T00:00:00.000-07:00,-0.000008,USD,0.000008,USD,7.12929E+11,splunk-gcp,Splunk-GCP,,Network Internet Egress from Americas to EMEA
